company_name,website,description,source,last_round
Ciroos,https://ciroos.ai,"Ciroos offers an AI SRE teammate that empowers SREs, DevOps and operations teams to be superheroes. Built from the ground up with the power of multi-agentic AI, Ciroos enables operations teams to reduce toil, investigate incidents, explain anomalies, and drive autonomous operations, across complex multi-domain environments, all while leaving humans in control. Headquartered in Pleasanton, California, Ciroos is funded by Energy Impact Partners and prominent angel investors, and serves enterprises across the globe.",EIP,Seed
Inc.,https://www.communitytreeservice.net/,"Community Tree Service, Inc. is a leading provider of highly recurring, nondiscretionary, mandated vegetation management and emergency response services. The Company’s services include routine, circuit-based tree trimming emergency removal clean up and mowing clearing, with specialization in remote and difficult to reach areas such as national forests, canyons, and ravines.",EIP,Seed
Convey,https://www.goconvey.com,"Convey delivers intelligent customer workflows that humanize connections in regulated environments. Formerly Message Broadcast, Convey transforms compliance requirements into streamlined experiences through purpose-built solutions that deliver measurable impact for utilities and essential service providers. Our platform helps organizations modernize operations and set new engagement standards while efficiently managing millions of interactions.",EIP,Seed
Cyclic Materials,https://www.cyclicmaterials.earth,"Cyclic Materials is creating a circular supply chain for rare earth elements and other materials critical to electrification.
Through its innovative technology, the company economically, sustainably, and domestically transforms end-of-life products into valuable raw materials that are essential to the production of electric vehicles, wind turbines, and motors for the electronics we use in our daily lives.",EIP,Seed
Derive,https://derivesystems.com,"Derive creates solutions to optimize vehicle performance and fleet profitability. Derive is a leading automotive technology company, empowering customers to take control of their vehicles, optimizing vehicle performance, fuel efficiency, safety, and more.",EIP,Seed
Dragonfly,https://dragonflyenergy.com,"Dragonfly Energy Holdings Corp. (Nasdaq: DFLI) headquartered in Reno, Nevada, is a leading supplier of deep cycle lithium-ion batteries. Dragonfly’s research and development initiatives are revolutionizing the energy storage industry through innovative technologies and manufacturing processes. Today, Dragonfly’s non-toxic deep cycle lithium-ion batteries are displacing lead-acid batteries across a wide range of end-markets, including RVs, marine vessels, off-grid installations, and other storage applications. Dragonfly is also focused on delivering an energy storage solution to enable a more sustainable and reliable smart grid through the future deployment of the Company’s proprietary and patented solid-state cell technology.",EIP,Seed
Dragos,https://dragos.com,"Dragos has a global mission: to safeguard civilization from those trying to disrupt the industrial infrastructure we depend on every day. The practitioners who founded Dragos were drawn to this mission through decades of government and private sector experience. 

Dragos codifies the knowledge of our cybersecurity experts into an integrated software platform that provides customers critical visibility into ICS and OT networks so that threats are identified and can be addressed before they become significant events. Our solutions protect organizations across a range of industries, including power and water utilities, energy, and manufacturing, and are optimized for emerging applications like the Industrial Internet of Things (IIOT).",EIP,Seed
Electric Hydrogen,https://eh2.com,"Founded by experienced renewable energy technologists and backed by committed mission-driven investors, Electric Hydrogen is building solutions to help cost-effectively decarbonize the massive industrial sectors that we all rely on.",EIP,Seed
Elementl Power,https://elementlpower.io/,"Elementl Power Inc. (""Elementl Power"") is a technology agnostic advanced nuclear project developer and independent power producer. Elementl Power was formed to break the stalemate in advanced nuclear power deployment by providing turn-key development, financing and ownership solutions for customers that want access to clean baseload power but may not want to own or operate nuclear power assets. Elementl Power is creating a scalable advanced nuclear energy procurement model, engaging some of the globe's largest energy purchasers, to power a sustainable, safe and energy abundant future.",EIP,Seed
Enchanted Rock,https://enchantedrock.com,"Enchanted Rock is a recognized leader in reliable, large-scale onsite power and microgrid solutions that help critical operations maintain uptime during grid outages caused by extreme weather, infrastructure failures, cyberattacks and other disruptions. Trusted by data centers, EV fleets, healthcare systems, utilities and manufacturers, Enchanted Rock also supports overall grid reliability by providing dispatchable, flexible capacity. Its ultra-low emission natural gas generators offer a cleaner, scalable alternative to diesel. All systems are monitored and optimized 24/7 through the company's proprietary GraniteEcosystem™ software platform.",EIP,Seed
ES Solar,https://essolar.com/,"ES Solar is a premier turn-key installer of residential solar and battery systems handling every step of the solar process from advertising, sale, design and project management to installation and servicing with its in-house crews.",EIP,Seed
Esmartsystems,https://www.esmartsystems.com,eSmart is a Norwegian provider of AI-based analytics for infrastructure inspection and asset health monitoring.,EIP,Seed
Ev,https://ev.energy,"ev.energy’s mission is simple: to make ev ownership easier, greener and cheaper. ev.energy's software manages vehicle charging, automatically optimizing for greener and cheaper rates. Operating in Europe, US and Australia, ev.energy offers a freely downloadable app that integrates with a growing list of popular home chargers, Tesla, Volkswagen vehicles and other vehicles such as Jaguar, currently in beta testing.",EIP,Seed
Finite State,https://finitestate.io,"The mission of Finite State is to protect the devices that power our modern lives by illuminating the vulnerabilities and threats within their complex software supply chains. With extensive backgrounds in cybersecurity and the U.S. Intelligence community, and market differentiating capabilities centered on device identification, risk analysis, and firmware analysis, Finite State provides the best option for securing and managing connected devices and critical infrastructure.",EIP,Seed
Addenergie,https://addenergie.com/en/,Flo (AddEnergie) is a leading North American charging network operator for electric vehicles and a major provider of smart charging software and equipment.,EIP,Seed
Formenergy,https://formenergy.com,"Breakthrough long duration energy storage systems to enable a fully renewable, affordable and reliable electric system.",EIP,Seed
GridBeyond,https://gridbeyond.com,"GridBeyond is a smart energy company. By leveraging AI, GridBeyond innovates and collaborates with their customers to create optimal value from energy generation, demand and storage to deliver a zero-carbon future. By bridging the gap between distributed energy resources and electricity markets, GridBeyond’s technology means every connected asset – whether utility-scale renewables generation, battery storage, or energy demand load – can be utilized to help maximize opportunities and enhance the grid. By intelligently dispatching flexibility into the right market, at the right time, asset owners and energy consumers unlock new revenues and savings, resilience, and management of price volatility, while supporting the transition to a net zero future.",EIP,Seed
Gridx,http://www.gridx.com,"GridX, Inc. partners with utilities and energy suppliers to transform their businesses and accelerate the clean energy transition. The company’s Business Operations Support (BOS) Cloud application suite helps these organizations to develop new products and business models to achieve their clean energy goals; quickly operationalize new offerings in their billing and settlement processes; better engage with their customers for broader program adoption; and serve as their customers’ trusted energy advisors throughout the process.",EIP,Seed
It,https://heattransformers.com/eng,"HeatTransformers was founded in 2018 in the Netherlands to give Europe freedom from gas. It is the first digital company fully focussed on the sales, advice, installation and service of heat pumps. HeatTransformers has installed thousands of heat pumps from Europe’s top suppliers. The company has developed a 2-sided, digital-first platform that facilitates the full consumer process from interest to installation. On the other side, it provides access to a large installation capacity through both HeatTransformers’ own installers and third-party partners. Through this platform, HeatTransformers has managed to effectively tackle the issues that are traditionally associated with switching existing homes (retrofit) from fossil fuel heating systems to heat pumps.",EIP,Seed
Heron Power Electronics Company,http://www.heronpower.com,"Heron Power Electronics Company is developing industrial power electronics purpose-built for the 21st-century grid, helping the electricity sector to grow faster with scalable, reliable and software-integrated infrastructure. Its modular solid state transformer technology enables renewable energy, storage, and datacenter developers to directly connect to medium voltage transmission without the use of a transformer. Led by founder and CEO Drew Baglino, the Scotts Valley, CA-based company combines expertise in power electronics, software, and high-volume manufacturing.",EIP,Seed
Hometree Group,https://www.hometree.co.uk,"Hometree Group is a residential energy services company paving the way for a brighter future by making renewable energy in the home more affordable and accessible for millions of people. We started our journey in the home cover market, helping customers keep their homes warm and working by protecting their most essential assets from breaking down. Now, with our growing network of products and services under our three business divisions (Home Services, Energy Services and Financial Services), we are supporting the full life cycle of sustainable homeownership, helping people install, manage and finance renewable energy solutions that enable sustainable, stress-free living.",EIP,Seed
IND Technology,https://ind-technology.com,"IND Technology develops advanced monitoring solutions that enable electric utilities to prevent faults, enhance reliability, and improve the safety of power networks. The company’s proprietary Early Fault Detection (EFD) system uses distributed sensors and patented algorithms to detect partial discharge and other early-stage faults on transmission and distribution lines—helping utilities identify and address issues before they cause outages, wildfires, or equipment damage. Founded in 2013 and headquartered in Melbourne, Australia, with offices in the U.S., Canada and Malysia, IND Technology partners with leading utilities across North America, Australia, and Asia to support a safer, more resilient, and efficient electric grid.",EIP,Seed
Infravision,https://infravision.com.au,"Infravision’s technology reduces risk and increases efficiency in the global transition to renewable energy
resources. Infravision’s products accelerate power grid modernization with drone enabled power line
upgrades for utility partners globally. The firm’s proprietary TX System, a drone hardware and software
platform, installs and upgrades power lines faster, safer and at lower cost than traditional alternatives.",EIP,Seed
Instagrid,https://instagrid.co,"instagrid is specialised in mobile off-grid batteries, driving the energy system transition for off-grid electricity, which today is still dominated by combustion engines. With its patented technology, instagrid offers the provision of clean mobile power without compromises enabling the off-grid economy of tomorrow to power their work in a sustainable way.",EIP,Seed
ION Solar,https://www.ionsolar.com,"ION Solar is a premium, full-service solar provider. We offer affordable solar solutions that allow our customers to enjoy the benefits of solar with little or no up-front costs. ION’s professionals handle all aspects of the solar process from start to finish, giving homeowners a carefree switch to solar all for a fraction of the cost of traditional power and using all premium equipment.",EIP,Seed
Koloma,https://koloma.com,"Koloma is a geologic hydrogen company that leverages its technology, proprietary data, and human capital advantages to identify and commercialize these resources on a global scale.",EIP,Seed
Metafuels,https://metafuels.ch,"Metafuels is a Zurich-based aviation tech startup, focused on the development and deployment of proprietary sustainable fuel technologies, with an initial focus on synthetic aviation fuel. Metafuels is positioned to address one of the most challenging areas of decarbonization, with the aviation industry responsible for up to 3.5% of total global greenhouse gas emissions (GHG). Metafuels intends to develop and bring to market sustainable aviation fuels which do not require a reengineering or re-purchasing of existing aircraft, or aviation logistics infrastructure.",EIP,Seed
Myenergi,https://www.myenergi.com,"myenergi, founded in 2016, is renowned for producing the world’s first solar-compatible EV charger – zappi. Alongside being able to charge an electric vehicle from mains supply, it has the capability to harness 100% renewable energy by constantly monitoring self-generation and diverting available renewable power to the charger. The company specialises in helping consumers to monitor, manage and maximise their own renewable generation, and use energy – including to charge an electric vehicle – in the smartest way possible.",EIP,Seed
Nitricity,https://www.nitricity.co,"Nitricity helps farmers produce their own zero-carbon nitrogen fertilizer, on-site, using a proprietary technology that makes fertilizer best for fields and farmers rather what’s best for factories and freight.",EIP,Seed
Overstory,https://www.overstory.com,"Overstory is an AI-powered grid resilience platform shifting how utilities protect communities from outages and wildfires. The company harnesses high-resolution satellite imagery and proprietary AI models to provide the critical intelligence needed to move utilities from reactive maintenance to a targeted, risk-based resilience strategy. By pinpointing the highest-risk vegetation and assets, Overstory empowers its partners to direct resources with precision, maximize the impact of every dollar spent, and build a safer, more reliable, and more resilient grid for everyone.",EIP,Seed
Oxford Flow,https://oxford-flow.com,"Oxford Flow is a leading manufacturer of advanced valve technologies, known for precision and innovative design. We specialise in creating flow control equipment, particularly valves and regulators that are distinguished by a unique piston design. This design minimises moving parts, reducing maintenance needs and eliminating emissions, offers enhanced performance and reliability.
Our product range includes gas and liquid regulators, actuated valves and ancillary products, each designed to provide superior performance, safety and durability. Oxford Flow’s products leverage cutting-edge research and development to address common issues in valve technology such as leakage and component failure, thereby delivering cost-effective and efficient solutions globally.",EIP,Seed
Palmetto,https://www.palmetto.com,Palmetto is a clean technology software and fulfillment platform for deploying solar and energy efficiency products.,EIP,Seed
Power Factors,https://powerfactors.com,"Power Factors provides scalable, reliable performance management solutions to over 200 utility-scale owners, operators and independent power producers, and monitors over 110 gigawatts of wind, solar and energy storage assets worldwide. Our mission is to deliver software and services to make renewable energy the world’s leading power generation source. Power Factors consolidates multiple operational data sources, asset hierarchies and metadata frameworks to create a single cloud-based remote asset management platform that works with today’s large-scale portfolios. With embedded connections to maintenance workflows, Power Factors streamlines process, reduces costs and increases ROI of assets. Power Factors’ Implementation and Customer Success services ensure that its customers realize value from Power Factors’ platform quickly and throughout the lives of their renewable energy assets.",EIP,Seed
Projectcanary,https://www.projectcanary.com,"Project Canary, an International Environmental Standards company based in Denver, Colorado, is a mission-driven B-Corporation (approval pending) accountable to a double bottom line of profit and the social good. Project Canary believes it is possible to create a financially successful, self-sustaining business that “does well and does good.” Project Canary’s goal is to mitigate climate change by helping the energy value chain operate on a cleaner, more efficient, more sustainable basis. Its proven solutions provide real-time emissions monitoring and rigorous independent certification of oil and gas well sites for responsible operations. Project Canary helps organizations collect, manage, operationalize, and benefit from real-time, trusted, and independent environmental data.",EIP,Seed
Quilt,https://www.quilt.com,"Quilt creates home climate systems designed to move humanity off fossil fuels. Built by industry veterans from Google, Apple, Tesla, and Nest, and backed by top climate investors, Quilt is the smartest way to heat and cool your home. Quilt's systems blend seamlessly into any home environment, offering intuitive room-by-room control, occupancy awareness for unmatched energy efficiency, and predictive technology to create the most advanced and comfortable system available. With Quilt, homeowners can enjoy an all-electric, rebate-eligible, and sophisticated solution for their home climate needs.",EIP,Seed
Reverion GmbH,https://reverion.com,"Reverion GmbH builds reversible, carbon-negative power plants. As a spin-off from the
Technical University of Munich, Reverion’s journey began in 2015 with a groundbreaking
vision: paving the way to 100% renewable energy by using the full potential of biogas. Over
the years, they successfully developed, validated, patented, and scaled their novel high-
temperature fuel cell system. Their technology combines all the key core elements
desperately needed for the successful implementation of the energy transition in a single
plant: increased efficiency, CO2-negative operation and seasonal energy storage at a large
scale.",EIP,Seed
Rock Rabbit,https://www.rockrabbit.ai/about-us,"Rock Rabbit is a leading clean energy technology company simplifying home electrification incentives. Its AI-powered platform simplifies clean energy incentives for home electrification for manufacturers, installers, and homeowners.",EIP,Seed
Rondo Energy,https://www.rondo.energy,Rondo Energy is developing thermal storage technology for industrial heat electrification and decarbonization.,EIP,Seed
RS,https://www.rspoles.com,"RS designs, engineers, and manufactures composite utility poles and related products for the electric transmission and distribution sectors. By applying superior resin formulation, stringent quality processes, and dedicated utility servicing, RS is the global leader in composite utility structure design and manufacturing. The company’s PowerON poles’ unique modular designs satisfy hardened grid requirements from basic 40-foot distribution to 345kV transmission lines with engineered confidence.  Utilizing a controlled manufacturing environment, RS can match supply to utilities’ needs whether it is general replacement, restoration, new builds, or multi-year whole grid hardening programs. RS has manufacturing facilities in Tilbury, Ontario, Canada and St. George, Utah, USA.",EIP,Seed
Sense,https://sense.com/,"Sense Labs, Inc., founded in 2013, provides home intelligence through
non-intrusive load disaggregation technology.  Using its hardware and
machine-learning cloud software, Sense delivers customers detailed,
real-time information about their homes through a consumer app. The
Boston-based company, led by a successful entrepreneur, has developed
leading technology that could be valuable in numerous, large markets
(energy, insurance, smart home, electronics, etc.).",EIP,Seed
Sibros,https://www.sibros.com,"Sibros powers the connected vehicle ecosystem with its Deep Connected Platform™ for full vehicle OTA software updates, data collection, and diagnostics in one vertically integrated system. DCP supports any vehicle architecture - from ICE, Hybrid, EV to Fuel Cell - while also meeting rigorous safety, security, and compliance standards. By combining powerful automotive software and data management tools in one platform, Sibros empowers OEMs to realize hundreds of connected vehicle use cases spanning fleet management, predictive maintenance, data monetization, paid feature upgrades, and beyond.",EIP,Seed
Singularity Energy,https://singularity.energy,"Founded in 2018, Singularity Energy is the most intelligent grid decarbonization platform built by experienced power systems and software experts from Harvard, MIT, and Johns Hopkins. Singularity’s platform provides high-quality, time and location-based grid emissions data, and a suite of innovative products such as developer APIs, and intelligent tools for grid operators, utilities, companies, and service providers to build data-driven decarbonization solutions.",EIP,Seed
Sitetracker,https://www.sitetracker.com,"Sitetracker powers the rapid deployment of tomorrow’s infrastructure. The global leader in deployment operations management software, Sitetracker helps innovative companies like British Telecom, KPN, Segra, and Chargepoint manage millions of sites and assets representing over $25 billion in portfolio holdings. By giving telecommunications, utility, smart cities, and energy teams a delightful cloud-based solution they love, we are working to accelerate the path to digital equity and a more sustainable future. Sitetracker, deploy what’s next.",EIP,Seed
SMTI,http://www.AnesiComfort.com,"Stone Mountain Technologies, Inc. (SMTI) is a manufacturing and technology development firm, headquartered in Johnson City, Tennessee, USA. Founded by Michael Garrabrant, its mission is to provide customers with high- comfort, cost-effective, low/zero-carbon heating & cooling by advancing the world’s best Thermally-Driven Heat Pumps and Thermal Compressors. By bringing modern engineering design and manufacturing principles to well- proven technologies, such as gas absorption, SMTI enables a new era of energy-efficient and environmentally- conscious comfort at an affordable price.",EIP,Seed
Sparkfund,https://www.sparkfund.co,"Sparkfund is an energy transition partner that works with utilities, leading energy brands, and commercial real estate owners to make the built environment a valuable extension of the grid. Sparkfund's embedded multi-tech project development, implementation, and financing programs transform buildings into profitable, resilient, and sustainable assets.",EIP,Seed
Sublime Systems,https://sublime-systems.com,"Sublime Systems is developing technology to decarbonize cement-making, which currently produces 8% of global CO2 emissions.",EIP,Seed
Terragia,https://terragiabiofuel.com,Terragia is a company aiming to drive the next generation of biofuels from cellulosic biomass. Terragia's one-step consolidated bioprocess uses engineered bacteria to break down and convert biomass into ethanol and other products — avoiding key challenges in prior generations of biofuels.,EIP,Seed
TESCO,https://www.tescometering.com,"TESCO is the trusted source for meter testing instruments and accessories since 1904. TESCO’s services to the utility industry include Meter Shop Layout, Statistical Sampling, Equipment Specifications, Field Services, Facility Relocation, Quality Systems, Project Management and Custom Equipment.",EIP,Seed
Transaera,https://www.transaera.com,"Transaera is an MIT spinout and performs research and development at Greentown Labs, the largest climatetech startup incubator in North America. The company is exploring novel desiccant materials to develop ultra-efficient climate systems that can regulate indoor environments critical to business and human productivity, all while reducing the impact on our global climate and local grid infrastructure. Transaera was one of eight finalists in the Global Cooling Prize, an international innovation competition to develop a residential air conditioner that would consume 80% less energy than commonly available air conditioners.",EIP,Seed
VIE Technologies,http://www.vietechnologies.com,"VIE Technologies is a leading provider of advanced energy monitoring and predictive maintenance solutions, empowering industries to maximize operational efficiency and reliability. Through cutting-edge IoT and AI technologies, VIE Technologies delivers actionable insights that drive smarter decision-making and sustainable operations.",EIP,Seed
Voya Energy,https://www.voya.energy,"Voya Energy is a California-based startup developing a breakthrough energy technology: it converts recycled metals into carbon-free “metal fuels”, which can store and release large amounts of energy. 
Their system promises fast, flexible, grid-independent electricity deployment — ideal for distributed, resilient clean power.",EIP,Seed
XONA,https://www.xonasystems.com/,"XONA provides the industry's leading zero-trust user access platform for Industrial Operations. XONA's mission is to enable your organization's workforce of employees, contractors, consultants, vendors and part-time workers to be more productive and more secure while reducing your operational costs. XONA seamlessly and securely enables secure adaptive access to your most critical systems and applications while also reducing operational and cyber risks and increasing operational efficiency.",EIP,Seed
Zap Energy,https://www.zapenergyinc.com,"Zap Energy is developing a fusion energy technology without the scale and complexity of other approaches, enabling rapid iteration towards on-demand, carbon-free energy with lower capital costs.",EIP,Seed
Zitara,http://www.zitara.io,"Zitara Technologies, Inc. (Zitara) is a San Francisco based developer of cloud and embedded software to make batteries safer and more profitable for manufacturers and owners, accelerating the electrification of the economy. Zitara serves customers with large deployments of EVs, utility-scale storage assets, and LEO satellites, and face multi-billion dollar problems with battery reliability, safety, and lifetime optimization.",EIP,Seed
Zolar,https://www.zolar.de,"The Greentech start-up Zolar offers fixed-priced photovoltaic systems, which home owners can plan, compare and commission online, according to their needs. With the help of the in-house developed Zolar Online Configurator, homeowners have the possibility to adjust the components of their PV system according to their wishes, and along with this, receive an individual consultation from solar experts.",EIP,Seed
6Kinc,http://www.6Kinc.com,"With sustainability at its core, 6K was founded in North Andover, Massachusetts, has developed UniMelt®, a proprietary advanced microwave plasma production system, to transform engineered materials into revolutionary products that advance industries across additive manufacturing, renewable energy, aerospace, consumer electronics, and more. 6K represents 6000 degrees, both the temperature of the operation of UniMelt®, the world's only microwave production scale plasma system, and the temperature of the sun's surface.
The 6K Energy division is focused on the production of low-cost, sustainable, and domestically produced battery material accelerating the pace of battery production and adoption of electric vehicles. The 6K Additive division specializes in sustainably sourced, AM metal powders production and reclamation, using a proprietary milling and cleaning process that ensures contamination-free, high-quality powders.",EIP,Seed
AMS,https://blog.fluenceenergy.com/fluence-acquires-ams-advanced-microgrid-solutions,AMS is a SaaS company with an A.I. software platform that uses deep learning algorithms to enable optimized trading of complex energy assets in wholesale energy markets.,EIP,Seed
Aquam Corporation,http://www.aquamcorp.com,"Aquam Corporation is an integrated pipe infrastructure solutions company, based in San Diego, CA, that provides proven technology solutions to owners and operators of both water and natural gas pipe infrastructures.",EIP,Seed
Attivonetworks,https://attivonetworks.com,"Attivo Networks, the global leader in deception technology, provides customers with a platform to efficiently detect, investigate, and respond to in-network attacks in enterprises and industrial environments.",EIP,Seed
AutoGrid,http://www.auto-grid.com/,"AutoGrid's suite of Energy Internet applications allows utilities,
electricity retailers, renewable energy project developers and energy
service providers to deliver cheap, clean and reliable energy by managing
networked distributed energy resources (DERs) in real time and at scale.",EIP,Seed
BHI,https://www.bhienergy.com,"BHI is an industry-leading provider of specialty services and staffing solutions to support the daily operations, routine maintenance and capital investment requirements for the power generation, oil & gas, and electricity transmission & distribution end markets. The Company’s broad service offering enables it to be an embedded provider of choice to a diverse customer base comprised of blue-chip utility and energy companies. BHI has a workforce of over 8,500 experienced project management and technical, professional and craft employees operating at more than 130 global project locations.",EIP,Seed
Quantela,https://www.quantela.com,"CIMCON Lighting, Inc. uses LED lighting to create a wireless sensor network and platform enabling cities to implement a variety of Smart City applications to manage outdoor lighting, monitor air quality, meter electric vehicle chargers, improve public safety and security, optimize parking, traffic and waste management to improve the quality of life for city residents.",EIP,Seed
Clevest,http://www.clevest.com,"Clevest helps utilities deliver safe, reliable and superior services through our innovative and configurable mobile workforce management and smart grid operations software solutions. We specialize in optimizing utility field operations, automating field activities and processes to improve safety, reliability, and response time. Over 220 utilities worldwide have selected Clevest as their mobile workforce partner, based on our experience from hundreds of successful implementations.",EIP,Seed
Ecobee,https://www.ecobee.com/,"ecobee provides elegantly designed, wifi-enabled smart thermostats and light switches for residential homes and commercial workplaces engineered to maximize comfort and savings without comprising your lifestyle.",EIP,Seed
FirstFuel,http://www.firstfuel.com,"FirstFuel is a global leader in C&I customer engagement solutions for utilities. The Company is using advanced analytics to support over 30 energy providers in North America and Europe improve business customer satisfaction, drive sales and increase program participation. Combining data science, building science, and software, FirstFuel’s SaaS platform drives insights from over 4 million meters.",EIP,Seed
Greenlots,http://greenlots.com,"Greenlots is the leading provider of an open standards-based charging platform with core competencies surrounding energy storage, remote load control, demand response, and billing.",EIP,Seed
Innowatts,https://www.innowatts.com,"Innowatts is a leading provider of meter-level predictive analytics for load forecasting, risk management, and customer engagement.",EIP,Seed
Li-Cycle,https://li-cycle.com,"Founded in Toronto in 2016, Li-Cycle is an industry-leading lithium-ion battery resource recovery company and the largest lithium-ion battery recycler in North America.",EIP,Seed
Mosaic,https://joinmosaic.com,"Mosaic is the nation's leading residential clean energy lending platform, offering financing for solar and home improvements in the modern, energy-conscious home.",EIP,Seed
Network Perception,https://network-perception.com,Network Perception proactively and continuously assures the security of critical OT assets with intuitive network segmentation verification and visualization.,EIP,Seed
Opus One Solutions,http://www.opusonesolutions.com/,"Opus One Solutions is a software engineering and solutions company with the vision of a Connected Distributed Energy Network. Through GridOS®, its intelligent energy networking platform, Opus One optimizes complex power flows so that it can deliver real-time energy management to distribution utilities and other managers of distributed energy assets. GridOS is modular, scalable, and integrates seamlessly with existing data systems to unlock greater potential for distributed energy resources, including renewable generation, energy storage, and responsive demand. GridOS also facilitates the management of microgrids — from homes to businesses to communities — for unparalleled grid resiliency and value to the electricity customer.",EIP,Seed
There,https://powerphase.com,"Powerphase has commercialized advanced aero-thermal technology for power generation and industrial applications to use air more effectively and efficiently in combustion turbines. The management team has leading expertise in combustion turbine design and technology, combined with deep experience in the power industry. There are 10 patents awarded and more than 80 patents pending on the company's technology. The company was founded in 2012 and is headquartered in Jupiter, Florida.",EIP,Seed
Powin Energy Corporation,https://powin.com,"Powin Energy Corporation develops energy storage solutions for utilities, commercial, industrial, and electric vehicle fast charging applications. The Company offers battery charging by balancing battery functions down to the cell level. Powin Energy serves customers in the United States.",EIP,Seed
Proterra,https://www.proterra.com,Proterra is a leader in the design and manufacture of zero-emission buses that reduce fleet operating costs while eliminating the dependency on fossil fuels.,EIP,Seed
Spire Power Solutions,https://spirepowersolutions.com,Spire Power Solutions is a leading engineer and manufacturer of power transformers.,EIP,Seed
Tenere,https://www.tenere.com,"Tenere is a top provider of custom mechanical solutions across a range of industries to include cloud infrastructure, network architecture, fiber optics, autonomous transportation, and renewable energy.",EIP,Seed
Tendril,https://www.greentechmedia.com/articles/read/tendril-simple-energy-merge-to-form-uplight,"Formed in 2004 and based in Boulder, Colorado, Tendril is backed by some of the largest blue-chip venture capital investors and has become a leader in residential energy analytics. The company’s offerings including behavioral energy efficiency and customer engagement with its home energy report, and bill monitoring products, and continuous demand management through its Orchestrated Energy product.",EIP,Seed
TRC,https://www.trccompanies.com,"TRC is a leading tech-enabled provider of engineering, consulting and environmental services to customers in the utility, government, commercial and industrial end markets. With end-to-end specialty services focused on energy delivery, grid reliability and environmental management, TRC helps customers adapt to technological and regulatory changes, manage risk and deliver safe, reliable solutions.",EIP,Seed
